# Trajectory for Robot 1
# x, y, theta, t
1.1250, 1.1750, 0.0000, 1772616379.478
1.1750, 1.2250, -0.0376, 1772616379.832
1.2250, 1.2750, -0.0752, 1772616380.185
1.2750, 1.3250, -0.1128, 1772616380.539
1.3250, 1.3750, -0.1504, 1772616380.892
1.3750, 1.4250, -0.1880, 1772616381.246
1.4250, 1.4750, -0.2256, 1772616381.599
1.4750, 1.5250, -0.2632, 1772616381.953
1.5250, 1.5750, -0.3008, 1772616382.306
1.5750, 1.6250, -0.3384, 1772616382.660
1.6250, 1.6750, -0.3760, 1772616383.014
1.6750, 1.7250, -0.4136, 1772616383.367
1.7250, 1.7750, -0.4512, 1772616383.721
1.7750, 1.8250, -0.4888, 1772616384.074
1.8250, 1.8750, -0.5264, 1772616384.428
1.8750, 1.9250, -0.5640, 1772616384.781
1.9250, 1.9750, -0.6016, 1772616385.135
1.9750, 2.0250, -0.6392, 1772616385.488
2.0250, 2.0750, -0.6768, 1772616385.842
2.0750, 2.1250, -0.7144, 1772616386.196
2.1250, 2.1750, -0.7520, 1772616386.549
2.1750, 2.2250, -0.7896, 1772616386.903
2.2250, 2.2750, -0.8272, 1772616387.256
2.2750, 2.3250, -0.8648, 1772616387.610
2.3250, 2.3750, -0.9024, 1772616387.963
2.3750, 2.4250, -0.9400, 1772616388.317
2.4250, 2.4750, -0.9776, 1772616388.670
2.4750, 2.5250, -1.0152, 1772616389.024
2.5250, 2.5750, -1.0528, 1772616389.378
2.5750, 2.6250, -1.0904, 1772616389.731
2.6250, 2.6750, -1.1280, 1772616390.085
2.6750, 2.7250, -1.1656, 1772616390.438
2.7250, 2.7750, -1.2032, 1772616390.792
2.7750, 2.8250, -1.2409, 1772616391.145
2.8250, 2.8750, -1.2785, 1772616391.499
2.8750, 2.9250, -1.3161, 1772616391.852
2.9250, 2.9750, -1.3537, 1772616392.206
2.9750, 3.0250, -1.3913, 1772616392.560
3.0250, 3.0750, -1.4289, 1772616392.913
3.0750, 3.1250, -1.4665, 1772616393.267
3.1250, 3.1250, -1.4930, 1772616393.517
3.1750, 3.1750, -1.5307, 1772616393.870
3.2250, 3.1750, -1.5572, 1772616394.120
3.2500, 3.1800, -1.5708, 1772616394.248
