# Trajectory for Robot 1
# phase: approach
# run_id: 20260317_111038_run001
# x, y, theta, t
0.0250, 0.0250, 0.0000, 1773720644.548
0.0750, 0.0750, 0.0000, 1773720644.901
0.1250, 0.1250, 0.0000, 1773720645.255
0.1750, 0.1750, 0.0000, 1773720645.608
0.2250, 0.2250, 0.0000, 1773720645.962
0.2750, 0.2750, 0.0000, 1773720646.315
0.3250, 0.3250, 0.0000, 1773720646.669
0.3750, 0.3750, 0.0000, 1773720647.022
0.4250, 0.4250, 0.0000, 1773720647.376
0.4750, 0.4750, 0.0000, 1773720647.730
0.5250, 0.5250, 0.0000, 1773720648.083
0.5750, 0.5750, 0.0000, 1773720648.437
0.6250, 0.6250, 0.0000, 1773720648.790
0.6750, 0.6750, 0.0000, 1773720649.144
0.7250, 0.7250, 0.0000, 1773720649.497
0.7750, 0.7750, 0.0000, 1773720649.851
0.8250, 0.8250, 0.0000, 1773720650.204
0.8750, 0.8750, 0.0000, 1773720650.558
0.9250, 0.9250, 0.0000, 1773720650.911
0.9750, 0.9750, 0.0000, 1773720651.265
1.0250, 1.0250, 0.0000, 1773720651.619
1.0750, 1.0750, 0.0000, 1773720651.972
1.1250, 1.1250, 0.0000, 1773720652.326
1.1750, 1.1750, 0.0000, 1773720652.679
1.2250, 1.2250, 0.0000, 1773720653.033
1.2750, 1.2750, 0.0000, 1773720653.386
1.3250, 1.3250, 0.0000, 1773720653.740
1.3750, 1.3750, 0.0000, 1773720654.093
1.4250, 1.4250, 0.0000, 1773720654.447
1.4750, 1.4750, 0.0000, 1773720654.801
1.5250, 1.5250, 0.0000, 1773720655.154
1.5750, 1.5750, 0.0000, 1773720655.508
1.6250, 1.6250, 0.0000, 1773720655.861
1.6750, 1.6750, 0.0000, 1773720656.215
1.7250, 1.7250, 0.0000, 1773720656.568
1.7750, 1.7750, 0.0000, 1773720656.922
1.8250, 1.8250, 0.0000, 1773720657.275
1.8750, 1.8750, 0.0000, 1773720657.629
1.9250, 1.9250, 0.0000, 1773720657.983
1.9750, 1.9750, 0.0000, 1773720658.336
2.0250, 2.0250, 0.0000, 1773720658.690
2.0750, 2.0750, 0.0000, 1773720659.043
2.1250, 2.1250, 0.0000, 1773720659.397
2.1750, 2.1250, 0.0000, 1773720659.647
2.2250, 2.1750, 0.0000, 1773720660.000
2.2750, 2.1750, 0.0000, 1773720660.250
2.3250, 2.2250, 0.0000, 1773720660.604
2.3750, 2.2250, 0.0000, 1773720660.854
2.4250, 2.2750, 0.0000, 1773720661.207
2.4750, 2.2750, 0.0000, 1773720661.457
2.5250, 2.2750, 0.0000, 1773720661.707
2.5750, 2.3250, 0.0000, 1773720662.061
2.6250, 2.3250, 0.0000, 1773720662.311
2.6750, 2.3750, 0.0000, 1773720662.665
2.7250, 2.3750, 0.0000, 1773720662.915
2.7750, 2.4250, 0.0000, 1773720663.268
2.8250, 2.4250, 0.0000, 1773720663.518
2.8750, 2.4750, 0.0000, 1773720663.872
2.9250, 2.4750, 0.0000, 1773720664.122
2.9750, 2.5250, 0.0000, 1773720664.475
3.0250, 2.5250, 0.0000, 1773720664.725
3.0750, 2.5250, 0.0000, 1773720664.975
3.1250, 2.5750, 0.0000, 1773720665.329
3.1750, 2.5750, 0.0000, 1773720665.579
3.2250, 2.6250, 0.0000, 1773720665.932
3.2750, 2.6250, 0.0000, 1773720666.182
3.3250, 2.6750, 0.0000, 1773720666.536
3.3750, 2.6750, 0.0000, 1773720666.786
3.4250, 2.7250, 0.0000, 1773720667.139
3.4750, 2.7250, 0.0000, 1773720667.389
3.5250, 2.7750, 0.0000, 1773720667.743
3.5750, 2.7750, 0.0000, 1773720667.993
3.6000, 2.8300, 0.0000, 1773720668.295
